,AnimalID,Protocol,Muscimol,SessionTime,TrialHighPerc,FirstPoke
8516,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8517,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8518,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8519,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8520,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8521,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8522,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8523,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8524,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8525,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8526,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8527,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8528,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8529,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8530,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8531,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8532,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8533,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8534,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8535,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8536,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8537,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8538,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8539,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8540,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8541,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8542,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8543,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8544,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8545,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8546,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8547,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8548,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8549,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8550,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8551,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8552,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8553,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8554,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8555,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8556,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8557,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8558,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8559,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8560,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8561,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8562,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8563,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8564,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8565,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8566,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8567,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8568,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8569,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8570,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
